DateTime,AddedIPs,RemovedIPs
1502437312,28,15
1502441124,40,42
1502444975,39,29
1502448799,28,25
1502453227,56,47
1502456962,21,17
1502460786,26,14
1502464609,35,46
1502468476,20,32
1502472291,27,37
1502476151,22,65
1502479982,52,86
1502483842,32,66
1502487676,27,22
1502491497,24,5
1502499207,107,112
1502503028,32,41
1502510721,83,6
1502514544,31,12
1502518376,40,36
1502522221,43,32
1502526067,38,63
1502529884,45,50
1502533574,48,69
1502537378,72,186
1502541224,76,90
1502545022,65,78
1502548867,105,64
1502552960,34,24
1502556814,47,11
1502560647,70,10
1502568317,111,48
1502572174,82,261
1502576217,85,95
1502580325,88,86
1502584165,98,85
1502588000,60,74
1502591846,35,11
1502595643,76,111
1502599489,77,75
1502603335,85,76
1502607182,66,87
1502611019,74,65
1502614932,82,75
1502622546,68,81
1502626382,59,8
1502630479,50,20
1502638400,78,144
1502642260,75,84
1502646085,105,75
1502649901,99,102
1502654029,90,102
1502657839,81,90
1502661794,75,81
1502665754,78,72
1502669587,68,76
1502673692,86,73
1502677749,83,86
1502681606,32,26
1502685429,69,37
1502689279,76,121
1502693099,101,76
1502696918,68,100
1502700788,100,66
1502704988,80,103
1502708846,103,78
1502712551,66,105
1502716406,58,27
1502720498,39,16
1502732110,116,47
1502735846,22,17
1502739683,48,41
1502743503,21,27
1502747345,30,39
1502751178,21,67
1502755016,14,8
1502762733,60,132
1502766563,81,74
1502770664,96,81
1502774499,60,96
1502778564,114,60
1502782415,63,114
1502790080,105,63
1502793894,57,104
1502797754,93,58
1502801602,86,93
1502805438,61,86
1502813113,93,61
1502816986,81,93
1502821414,74,81
1502828945,64,74
1502836627,62,64
1502840716,79,62
1502844581,71,79
1502852251,64,70
1502856172,89,62
1502864203,84,92
1502868110,85,83
1502871912,114,79
1502875770,63,118
1502879635,126,64
1502883560,87,123
1502887279,67,87
1502891117,117,68
1502895209,53,38
1502899374,13,7
1502903137,39,9
1502907107,56,14
1502910798,21,10
1502914622,42,34
1502918504,24,26
1502922537,16,6
1502926373,9,7
1502934288,34,64
1502938126,19,7
1502941991,25,27
1502945799,9,10
1502949764,18,10
1502953499,9,1
1502957354,26,24
1502961195,43,93
1502965059,36,80
1502968881,77,43
1502972939,26,50
1502976798,22,32
1502980544,79,56
1502984217,23,8
1502988050,13,161
1502992150,97,0
1502996224,56,0
1503000123,55,0
1503003910,12,0
1503007739,21,0
1503011570,7,5
1503015427,26,45
1503019255,53,92
1503023090,57,146
1503026922,50,83
1503034621,86,13
1503038447,55,26
1503042284,30,36
1503046144,47,44
1503049974,50,61
1503053802,62,62
1503061510,42,52
1503065339,59,20
1503069195,71,94
1503073032,125,169
1503077093,97,138
1503081186,117,94
1503085010,117,110
1503088866,101,125
1503092690,101,102
1503096542,88,96
1503100384,33,38
1503104193,29,6
1503108128,38,7
1503111901,31,15
1503115753,49,20
1503119589,17,18
1503123433,33,54
1503127279,58,88
1503131322,34,50
1503135220,69,18
1503139000,56,27
1503142867,17,29
1503146935,33,22
1503150777,34,28
1503154615,64,112
1503158527,121,151
1503162536,82,130
1503166492,82,78
1503170232,94,83
1503174069,119,93
1503177889,82,115
1503181718,79,87
1503185560,91,77
1503189394,108,93
1503193240,89,111
1503197079,90,70
1503200924,44,25
1503204752,41,23
1503208611,48,20
1503212458,57,12
1503216301,29,23
1503220126,42,38
1503223979,28,17
1503227842,46,36
1503231670,46,41
1503235506,24,67
1503239327,59,49
1503243199,89,201
1503247007,122,97
1503250845,119,114
1503254699,89,121
1503258532,54,44
1503262378,24,10
1503266210,28,15
1503270133,21,13
1503273891,27,22
1503277733,47,38
1503281832,48,48
1503285668,36,37
1503293341,83,92
1503297183,52,29
1503301022,18,11
1503304872,28,34
1503308683,20,31
1503312522,32,33
1503316377,21,23
1503320045,23,5
1503323815,65,51
1503327884,99,207
1503331724,153,92
1503335583,126,140
1503339301,46,86
1503343004,71,16
1503346841,55,12
1503350679,57,13
1503354500,34,10
1503358365,43,36
1503362213,53,52
1503366032,34,69
1503369881,41,89
1503373703,42,75
1503377566,29,27
1503381389,29,24
1503385237,103,168
1503389070,115,106
1503392933,136,111
1503396751,111,124
1503400603,103,112
1503404690,109,98
1503408773,93,116
1503412611,123,83
1503416424,91,127
1503420280,93,91
1503427967,144,111
1503431793,93,110
1503435652,100,90
1503439475,100,93
1503443564,121,109
1503447400,102,118
1503451244,89,100
1503455077,117,93
1503458948,124,116
1503462784,98,121
1503466597,101,99
1503470447,91,100
1503474271,20,19
1503478113,4,0
1503481960,8,2
1503485781,15,5
1503489640,20,7
1503493462,11,3
1503497316,15,2
1503501153,16,2
1503505008,14,1
1503508859,7,2
1503512675,13,1
1503516496,11,2
1503520359,13,1
1503524198,10,2
1503529042,9,1
1503532838,3,1
1503536674,6,2
1503540500,8,1
1503544350,87,20
1503548176,53,24
1503552039,15,44
1503555874,8,9
1503559711,33,45
1503563565,13,17
1503567389,36,85
1503571239,8,15
1503575058,16,42
1503578928,12,0
1503582773,22,15
1503586601,21,26
1503647573,239,84
1503651381,68,58
1503655252,82,108
1503659083,16,23
1503662916,30,92
1503666748,17,12
1503670583,23,36
1503674429,35,51
1503678272,42,52
1503682123,33,46
1503685962,62,10
1503689796,93,36
1503693619,49,28
1503697456,40,38
1503701313,13,27
1503705410,15,32
1503709255,22,35
1503713087,27,49
1503716929,37,50
1503720775,30,28
1503724617,49,69
1503728453,38,49
1503732264,26,267
1503736113,77,0
1503739963,48,0
1503743807,93,0
1503747648,30,0
1503751475,50,80
1503755312,61,62
1503759134,26,20
1503763251,41,92
1503767076,55,48
1503771035,46,41
1503774739,65,51
1503778601,80,70
1503782422,145,244
1503786288,163,174
1503790139,52,47
1503793955,75,28
1503797787,161,219
1503801637,117,125
1503805453,171,139
1503809313,165,183
1503813143,160,152
1503817001,179,166
1503820834,69,43
1503824659,82,45
1503828515,179,234
1503832348,156,189
1503836170,213,163
1503840021,161,212
1503843877,206,162
1503847721,115,113
1503851562,165,208
1503855394,202,159
1503859240,161,202
